"sampleSize","K_pctAlpha","pitPerPAAlpha"
5,0.096528969934211,0.0579588207165334
10,0.176272683719417,0.0965458486406144
15,0.23279725678293,0.0998138091026681
20,0.275879798866564,0.16491920081223
25,0.312799573992237,0.158110659495427
30,0.364812843173651,0.215630044608268
35,0.4090269759048,0.217884578456487
40,0.424599230929868,0.278646761696677
45,0.452005889288163,0.266385869186246
50,0.476659906125828,0.30279230806205
55,0.50716679111176,0.330969707790562
60,0.529086181523305,0.336819744220515
65,0.556054465984951,0.367544749702846
70,0.562631473642864,0.378931841367878
75,0.574788453788742,0.404192338257256
80,0.602469158083281,0.427685094806495
85,0.619537742818945,0.456823484734543
90,0.624852159600952,0.445300793747861
95,0.642669808182932,0.463952655124204
100,0.656931252705898,0.468444322035521
105,0.663302073925301,0.478789896896943
110,0.669173612787444,0.494716827789222
115,0.678861800563001,0.507824931853727
120,0.689262023695806,0.530909801134191
125,0.701049236514714,0.533805211781369
130,0.708297145238415,0.547901630457641
135,0.71268250314854,0.559110287169582
140,0.723702089367551,0.560330195030171
145,0.731451319100447,0.56954986030026
150,0.736240056648398,0.573876777172323
155,0.739662807672333,0.567602341716048
160,0.754497207876057,0.590114906560116
165,0.76086460678622,0.598814721067348
170,0.766302982931613,0.600552015096967
175,0.769455278653783,0.611163448348858
180,0.777740886034615,0.616654395756301
185,0.783812999974765,0.622238690553405
190,0.784643921945202,0.628046310810762
195,0.793686669764606,0.640511092154049
200,0.793137700923524,0.639535696131314
205,0.799327227227151,0.635749544161772
210,0.799615801330206,0.642071159266017
215,0.804781056236661,0.657676691039333
220,0.809380062391305,0.656068248645389
225,0.808763720918316,0.659518992420244
230,0.812751906419612,0.662876696658986
235,0.816287986010164,0.673156583328303
240,0.816243124237548,0.672588804508202
245,0.820216137621602,0.671589967851979
250,0.820141273321485,0.672017400248715
255,0.822183544259746,0.678944218704294
260,0.817285749155754,0.677991262283677
265,0.816687267669435,0.672414933975612
270,0.816397706853594,0.667962909357703
275,0.819251549515206,0.68020112039178
280,0.814149959330459,0.674974749944049
285,0.809017121640147,0.680975524628304
290,0.81472216313147,0.675736230077468
295,0.815241765506623,0.663507243199763
300,0.812423167675577,0.668088127321518
305,0.804558122613049,0.670135827822339
310,0.809997683131913,0.668011091614696
315,0.808972485002644,0.666415641452649
320,0.810543420153814,0.670631999129237
325,0.810513905216971,0.681156418034736
330,0.809757900739856,0.675134042577861
335,0.816091843374157,0.685411429145184
340,0.820134711050931,0.679285353197348
345,0.817536167056663,0.682091499598167
350,0.822227333287325,0.680277814395244
355,0.822145122788214,0.683657084038793
360,0.820273302016578,0.687005408092283
365,0.82865468345353,0.688897256546719
370,0.827459616518278,0.696964929316527
375,0.831477770386765,0.694599114376733
380,0.828319405704381,0.704861475402926
385,0.83850245787483,0.7004425644264
390,0.838384285045095,0.708638056768551
395,0.838054680412584,0.710555134552848
400,0.841420614353978,0.710863080496938
405,0.844726898041105,0.715009562257989
410,0.844552541753412,0.715200267923351
415,0.843546176793093,0.715482433855075
420,0.847713719927326,0.713302637360226
425,0.847402094072617,0.716119329223032
430,0.84851137245877,0.71737167039607
435,0.848775898968851,0.725510885110387
440,0.853594497295223,0.732641661277104
445,0.854206246583431,0.730544132063604
450,0.855753643296657,0.732695945600378
455,0.853476282921299,0.745302508585164
460,0.858692076194746,0.735235817933317
465,0.861431171476218,0.748694828139551
470,0.861819452643798,0.748697229271485
475,0.86400812270818,0.740961356972837
480,0.863267642181141,0.748624111551576
485,0.866408553427692,0.750120969095827
490,0.866266573093287,0.748829058613898
495,0.868816505048325,0.760244013499561
500,0.871107477881246,0.75414143266386
505,0.871433817810243,0.757605089059386
510,0.873533624802383,0.757744672612251
515,0.871509655478643,0.757840433215601
520,0.874619363777514,0.758473269019409
525,0.87469484995934,0.758781212319087
530,0.876296478387917,0.758942262588375
535,0.878086168837437,0.761325163786396
540,0.875459300444595,0.763961048203496
545,0.878262691722716,0.763823721525676
550,0.87830176545201,0.765249942092911
555,0.879527755930145,0.766239686010227
560,0.882218998862974,0.766124932120925
565,0.881943541326963,0.771409749852289
570,0.883289049346018,0.771593922372215
575,0.883632116651218,0.778826651986067
580,0.884211191340842,0.777083760543022
585,0.886858396498061,0.779157584180025
590,0.887924141325887,0.778367099796599
595,0.887917224174153,0.779193611236028
600,0.888304270725084,0.772763114875389
605,0.887547221764921,0.779138880611861
610,0.888755551398033,0.775046036756598
615,0.889461867485353,0.782597013241525
620,0.890972962653033,0.781245309870176
625,0.892809210106962,0.787967550843508
630,0.89318577471178,0.787787250833829
635,0.893172877464982,0.791464974828917
640,0.893760962124219,0.786974983035093
645,0.894999165865179,0.789493248703851
650,0.892801591403956,0.786005642595236
655,0.897127376475702,0.785490630146853
660,0.897275357721149,0.789335805783529
665,0.899214176528751,0.797299419728639
670,0.899090808952425,0.794956132959618
675,0.899213589389091,0.798335820162239
680,0.902122395187163,0.798351597426231
685,0.90078105349983,0.794308267400973
690,0.901988185637369,0.787059833886606
695,0.901208347772337,0.797397232610463
700,0.901997563685086,0.794862947984566
705,0.904008681825596,0.797588581395102
710,0.905340732243528,0.793943373515007
715,0.90551784307564,0.79493234612865
720,0.905993301232627,0.798193443589105
725,0.905712634809527,0.798138745116476
730,0.905861671765735,0.795167358094856
735,0.907150308288292,0.799741280002176
740,0.906684503238198,0.79819094021834
745,0.908078600678457,0.798164138178422
750,0.909602372760041,0.792242275096119
